# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed May  1 10:36:27 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.0152 0.01508 6.00000 0.0900000036 1.0816895962    0.090 -1.321  3.4419  3.433    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.073 5.998 5.438 5.101 4.671 4.522 4.467 4.386 3.756 3.722 3.774 4.804 4.526 4.340 3.946
0.0152 0.01508 6.00000 0.1000000015 1.1711064577    0.100 -1.221  3.4494  3.408    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.822 5.757 5.191 4.868 4.456 4.310 4.258 4.182 3.558 3.528 3.587 4.586 4.314 4.140 3.748
0.0152 0.01508 6.00000 0.1098617315 1.2485735416    0.110 -1.138  3.4554  3.390    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.615 5.558 4.983 4.674 4.278 4.135 4.087 4.015 3.397 3.370 3.434 4.406 4.140 3.977 3.587
0.0152 0.01508 6.00000 0.1200000122 1.3193155527    0.120 -1.057  3.4612  3.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.62e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.413 5.365 4.780 4.483 4.105 3.965 3.919 3.851 3.238 3.215 3.285 4.230 3.970 3.817 3.428
0.0152 0.01508 6.00000 0.1354001760 1.4130986929    0.135 -0.953  3.4689  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.152 5.116 4.511 4.231 3.880 3.747 3.705 3.642 3.037 3.019 3.094 4.003 3.752 3.612 3.227
0.0152 0.01508 6.00000 0.1400000006 1.4384527206    0.140 -0.924  3.4710  3.344    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.6e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 5.048 4.438 4.162 3.818 3.687 3.646 3.584 2.981 2.965 3.042 3.941 3.693 3.556 3.171
0.0152 0.01508 6.00000 0.1473688781 1.4768916368    0.147 -0.885  3.4742  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.22e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.982 4.956 4.336 4.066 3.734 3.606 3.566 3.507 2.907 2.894 2.973 3.856 3.612 3.480 3.097
0.0152 0.01508 6.00000 0.1649024487 1.5590895414    0.165 -0.809  3.4809  3.340    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.793 4.781 4.142 3.884 3.575 3.454 3.416 3.360 2.768 2.761 2.845 3.694 3.460 3.338 2.958
0.0152 0.01508 6.00000 0.1705176085 1.5830422640    0.170 -0.798  3.4826  3.350    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.765 4.757 4.114 3.858 3.553 3.434 3.396 3.340 2.750 2.746 2.833 3.671 3.440 3.321 2.940
0.0152 0.01508 6.00000 0.1760640442 1.6057158709    0.176 -0.776  3.4849  3.351    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.710 4.708 4.058 3.805 3.508 3.391 3.353 3.298 2.711 2.709 2.799 3.624 3.397 3.280 2.901
0.0152 0.01508 6.00000 0.1806975752 1.6239571571    0.181 -0.751  3.4871  3.346    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.648 4.652 3.994 3.745 3.455 3.341 3.303 3.248 2.664 2.666 2.757 3.570 3.347 3.233 2.854
0.0152 0.01508 6.00000 0.1863481998 1.6453964710    0.186 -0.717  3.4900  3.337    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.561 4.572 3.903 3.659 3.380 3.269 3.232 3.178 2.597 2.603 2.698 3.493 3.275 3.165 2.787
0.0152 0.01508 6.00000 0.1950441152 1.6767902374    0.195 -0.661  3.4944  3.318    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.422 4.443 3.756 3.519 3.257 3.154 3.119 3.067 2.492 2.501 2.599 3.369 3.161 3.057 2.682
0.0152 0.01508 6.00000 0.2051213086 1.7109695673    0.205 -0.635  3.4973  3.327    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.359 4.387 3.691 3.457 3.205 3.106 3.072 3.021 2.449 2.462 2.562 3.315 3.113 3.013 2.639
0.0152 0.01508 6.00000 0.2146187425 1.7412415743    0.215 -0.635  3.4990  3.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.358 4.391 3.695 3.461 3.212 3.115 3.080 3.030 2.461 2.476 2.577 3.320 3.122 3.023 2.651
0.0152 0.01508 6.00000 0.2241051644 1.7697881460    0.224 -0.625  3.5015  3.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.332 4.372 3.671 3.439 3.195 3.102 3.067 3.018 2.452 2.470 2.572 3.301 3.109 3.013 2.642
0.0152 0.01508 6.00000 0.2335195541 1.7966058254    0.234 -0.601  3.5047  3.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.272 4.321 3.611 3.382 3.148 3.060 3.026 2.978 2.416 2.438 2.543 3.252 3.067 2.975 2.606
0.0152 0.01508 6.00000 0.2428210229 1.8217558861    0.243 -0.563  3.5086  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.177 4.236 3.512 3.287 3.067 2.988 2.954 2.908 2.351 2.377 2.484 3.170 2.995 2.907 2.541
0.0152 0.01508 6.00000 0.2590910494 1.8628706932    0.259 -0.513  3.5141  3.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.053 4.126 3.385 3.166 2.964 2.895 2.862 2.817 2.268 2.301 2.411 3.062 2.902 2.820 2.458
0.0152 0.01508 6.00000 0.2748019695 1.8995058537    0.275 -0.501  3.5173  3.400    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.023 4.106 3.360 3.143 2.947 2.883 2.850 2.805 2.262 2.299 2.411 3.042 2.891 2.811 2.451
0.0152 0.01508 6.00000 0.2906001210 1.9336966276    0.290 -0.491  3.5208  3.427    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.996 4.090 3.339 3.124 2.934 2.876 2.843 2.798 2.260 2.302 2.416 3.026 2.884 2.807 2.450
0.0152 0.01508 6.00000 0.3151578009 1.9823096991    0.315 -0.455  3.5271  3.452    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.908 4.023 3.258 3.047 2.871 2.826 2.792 2.747 2.219 2.270 2.387 2.957 2.833 2.760 2.408
0.0152 0.01508 6.00000 0.3399681151 2.0266623497    0.340 -0.425  3.5330  3.478    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.832 3.965 3.189 2.983 2.819 2.785 2.750 2.704 2.186 2.245 2.364 2.898 2.792 2.722 2.376
0.0152 0.01508 6.00000 0.3527808189 2.0479519367    0.353 -0.412  3.5359  3.493    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.800 3.941 3.162 2.957 2.799 2.770 2.735 2.689 2.176 2.238 2.359 2.875 2.778 2.709 2.365
0.0152 0.01508 6.00000 0.3855731785 2.0981462002    0.386 -0.363  3.5444  3.516    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.677 3.843 3.049 2.852 2.711 2.699 2.663 2.616 2.116 2.188 2.311 2.779 2.707 2.641 2.305
0.0152 0.01508 6.00000 0.4027824402 2.1223189831    0.403 -0.341  3.5485  3.530    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.622 3.801 3.001 2.808 2.674 2.670 2.633 2.585 2.091 2.168 2.292 2.738 2.677 2.613 2.281
0.0152 0.01508 6.00000 0.4476481974 2.1794912815    0.447 -0.275  3.5599  3.555    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.457 3.669 2.860 2.676 2.560 2.576 2.538 2.485 2.009 2.099 2.225 2.612 2.583 2.520 2.199
0.0152 0.01508 6.00000 0.4651119709 2.1997659206    0.465 -0.249  3.5643  3.564    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.393 3.618 2.809 2.629 2.518 2.540 2.502 2.448 1.978 2.072 2.198 2.566 2.548 2.485 2.167
